yöndeki görüşüne,yö görüş
evresine geçilmiş,evre geçil
sürdürülüp sonuçlandırılmak,sürdürülüp sonuçlandırılmak
denetimli serbestlik,denetimli serbestlik
milleti adina,millet ad
yapılabileceğini düşünüyorsa,yapılabilecek düşünüyor
yorumlamaya müsait,yorumlama müsait
any mah,any mah
bölge adliye,bölge adli
yansıtan tutanaklar,yansı tutanak
fesat karıştırma,fesat karıştırma
verilere dayandırıldığı,veri dayandırıldık
girişiminin başarısızlıkla,girişim başarısızlık
anlatılış biçimine,anlatılış biçim
yükünün hafifletilmesi,yük hafifletilmes
verirken yoruma,verir yor
savunmalarına dayandıkları,savunma dayandık
v italya,v italya
harcından evvelce,harç evvel
scoppola v,scoppol v
cbaşsavcılığına tevdine,cbaşsavcılık tevdi
evresinin kesinleşmeye,evre kesinleşme
cumhuriyeti anayasasının,cumhuriyet anayasa
başarısızlıkla sonuçlanması,başarısızlık sonuçlanmas
sürecini yansıtan,süreç yansı
vaktin darlığından,vakt darlık
ölümün doğruluğu,öl doğruluk
iddianamenin kabulünden,iddianame kabul
işlenmesindeki özellikler,işlenmes özellik
şekline dönüşmüştür,şekl dönüş
sınırlama getirilmiş,sınırla getiril
avrupa insan,avrup in
hiçbirine uymamaktadır,hiçbir uymamak
süratle sonuçlandırılması,sürat sonuçlandırılmas
ödül terfileri,ödül terfi
gerekçelerde tutarlılık,gerekçe tutarlılık
nejdet şahin,nejdet şah
tasarrufu sağlayan,tasarruf sağlaya
mezkur ihbarnamede,mezkur ihbarname
denetimini sağlayacak,denetim sağlayacak
erişilebilir bilinebilir,erişilebilir bilinebilir
kaybını doğuracaktır,kayp doğuracak
gereklilikleri karşılaması,gereklilik karşılamas
türkiye cumhuriyeti,türki cumhuriyet
görüldü bugün,görül bugu
içtihadı birleştirme,içtihadı birleştirme
üniversitelerin arkeoloji,üniversite arkeoloj
ilgileri tasnif,ilgi tasnif
seri muhakeme,ser muhake
hakimiyetini kaybederek,hakimiyet kaybederek
sayın çoğunluğun,say çoğunluk
direksiyon hakimiyetini,direksiyo hakimiyet
herkesi inandıracak,herkes inandıracak
belgede sahtecilik,belge sahtecilik
yasaca cevaz,yasaç cevaz
kapıya yapıştırıldığı,kapı yapıştırıldık
bordo tahakkuklarında,bordo tahakkuk
hayırsever vatandaşın,hayırsever vatandaş
hidrolik kaya,hidrolik ka
askerden döndüğünü,asker döndük
esasına geçildi,esa geçil
düzenlemelere uymak,düzenleme uymak
kenevir ekme,kenevir ekme
gözden ırak,göz ırak
bittiği bildirildi,bittik bildiril
kanıtlama yeterliliği,kanıtla yeterlilik
norm denetimi,norm denet
hukuku anlamında,hukuk anlam
gerçekleşmesini beklemek,gerçekleşme beklemek
düzenlenmesinde yalan,düzenlenme yala
vicdani kanının,vicda kan
bozmayı gerektirmiş,bozma gerektir
düşüncesi alındı,düşünces al
tutanakları münderecatına,tutanak münderecat
adil yargılanma,adil yargılanma
rapor dinlendikten,rapor dinlendik
kişiyi hürriyetinden,kişi hürriyet
direktifinin analık,direktif analık
gecikmesinde sakınca,gecikme sak
algılanabilme olasılığının,algılanabilme olasılık
birleşmiş milletler,birleş millet
ulaşılmada kısacası,ulaşılma kısacas
hâkimlik mesleğinin,hâkimlik meslek
çekmecesinde kutu,çekmece kut
sikkeleri nereden,sikke nere
penil şaft,penil şaft
konumuna getirmez,konum getirmez
hard disk,hard disk
sd hafıza,sd hafız
cetvelindeki pozisyonların,cetvel pozisyo
intifadan men,intifa men
evrak okunarak,evrak okunarak
onur şeref,onur şeref
taraflarının iradesine,taraf irade
mahkemelerine emek,mahkeme emek
kasa mevcuduyla,kas mevcudu
oy birliğiyle,oy birlik
özeni göstermesine,öze gösterme
müsait olmayacak,müsait olmayacak
yürürlüğe giren,yürürlük gire
uymak zorundadır,uymak zor
mecburdur keyfiyet,mecbur keyfiyet
yürütmenin düzenleyici,yürütme düzenleyiç
yollarla duyurulmasından,yol duyurulma
düşürülüp düşürülmeyeceğinin,düşürülüp düşürülmeyecek
eksiksiz sergilendiği,eksiksiz sergilendik
düzeltir görmezse,düzel görmez
oluşturmak istediği,oluşturmak istedik
işleniş biçimi,işleniş biç
ulusal bayram,ulusal bayra
insan hakları,in hak
değerlendirilmesinde zorunluluk,değerlendirilme zorunluluk
açıklamaları dinlendi,açıklama dinle
başlayarak sürdürülüp,başlayarak sürdürülüp
resmi gazetede,resmi gazete
şüpheden uzak,şüphe uzak
başsavcılığına tevdiine,başsavcılık tevdiin
sadi konuk,sadi konuk
kavgayı başlatan,kavga başla
bölgesinin eteklerinde,bölge etek
levye murç,levye murç
rızasını aramaksızın,rıza aramaksız
kafenin tuvaletinde,kafe tuvalet
grubuna satılmasına,grup satılma
biber gazı,biber gaz
devretmek istemektedir,devretmek istemek
hafızasında yıllarca,hafıza yıl
ayağı takılarak,ayak takılarak
düşünceler sütunlarından,düşünce sütun
satacağı kimseyi,satacak kimse
bilirkişilerinin hazırlamış,bilirkişi hazırlamış
otobüsün bagajında,otobü bagaj
gelişmesini sağlayacağı,gelişme sağlayacak
kuvvetlenmesini sağlayacaktır,kuvvetlenme sağlayacak
kısıtlanıp kısıtlanmadığı,kısıtlanıp kısıtlanmadık
yasama yürütme,yasa yürütme
çukurova üniversitesince,çukurov üniversite
teknisyen sınıfında,teknisye sınıf
kırarak koptuğu,kırarak koptuk
çukura ayağı,çukur ayak
okula göndermek,okul göndermek
minibüsün hızının,minibü hız
gitmesinin dikkatini,gitme dikkat
muayeneye gitmeyeceğine,muayene gitmeyecek
taşeronlardan istenecek,taşeron istenecek
belirtme yapılmadığından,belirtme yapılmadık
pistine inerek,pist inerek
istikametinde rüzgar,istikamet rüzgar
kaymakamlığı malmüdürlüğünce,kaymakamlık malmüdürlük
katılımıyla oluşturulur,katılım oluşturulur
kara kuvvetleri,kar kuvvet
oluşturulur komisyona,oluşturulur komisyo
mevkute çıkarmaya,mevku çıkarma
defol git,defol git
bakılıp gözetilmeleri,bakılıp gözetilme
batına nafiz,bat nafiz
kağıda sarılı,kağı sarıl
muhakemesinin birincil,muhakeme birincil
ziyaret tepe,ziyaret tep
kürsülerine mensup,kürsü mensup
destekleme priminden,destekle prim
korunmaya muhtaç,korunma muhtaç
harçtan muaf,harç muaf
göçmen kaçakçılığı,göçme kaçakçılık
hafta tatili,haf tatil
halen uygulanmakta,hale uygulanmak
öncesi aşamadan,önces aşama
kamuya yararlı,kamu yararlı
alacaklılarının isim,alacaklı is
derecekademe ilerlemesi,derecekade ilerlemes
davranışlarını yönlendirme,davranış yönlendirme
sürüş yeteneğini,sürüş yetenek
aşamadan başlayarak,aşama başlayarak
tipine uyduğu,tip uyduk
prosedür işletildikten,prosedür işletildik
ilerlemesi talibinde,ilerlemes talip
olanına bakmakla,olan bakmak
maddeyi ihdas,madde ihdas
kazanıp kazanmadığı,kazanıp kazanmadık
belirlenirtemyiz sınırından,belirlenirtemyiz sınır
sendikasınca üyeliğe,sendika üyelik
terfi zamanına,terfi zaman
aynî yardımda,aynî yardı
senetlerinin mahallin,senet mahall
emsallerini geçemez,emsal geçemez
ilk derece,ilk dereç
tetkik hakimi,tetkik hak
ulaşılan çözümü,ulaşıla çöz
zorunluluk bulunması,zorunluluk bulunmas
perihan şahintürkiye,periha şahintürki
düşürmeye matuf,düşürme matuf
aynına taalluk,ayn taalluk
içtihat farklılıklarına,içtihat farklılık
bekletici mesele,bekletiç mesel
edene yükletilmesine,ede yükletilme
korunmasındaki gecikmeler,korunmas gecikme
sermayesi paylara,sermayes pay
teleferik hattına,teleferik hatt
dayandıkları belgelere,dayandık belge
tehlikeye sokma,tehlike sokma
doğurmaya elverişli,doğurma elverişli
ilave tediye,ilav tedi
trafik güvenliğini,trafik güvenlik
düşüncesiyle sayın,düşünce say
uygulanmasını etkinleştirmek,uygulanma etkinleştirmek
eli ürünü,el ür
dil ırk,dil ırk
bahri tekeli,bahri tekel
elektro şokla,elektro şok
kömürlüğünde kaleşnikof,kömürlük kaleşnikof
mental retardasyon,mental retardasyo
muharrem işık,muharre işık
eksiklikleri tamamladıktan,eksiklik tamamladık
üstlendikleri rolleri,üstlendik rol
işlemekten çekineceğine,işlemek çekinecek
bakarak konuşan,bakarak konuşa
varyap varlıbaşlar,varyap varlıbaş
gözlendiği üretral,gözlendik üretral
sulama kooperatifiyle,sula kooperatif
kontör yüklemesi,kontör yüklemes
cannabis hint,cannabis hint
keneviri parçacıkları,kenevir parçacık
göğüslerine dokunarak,göğüs dokunarak
dokunarak sarılması,dokunarak sarılmas
kimselerce işlenebileceği,kimse işlenebilecek
ünitesinin yanmasına,ünite yanma
şarj dinomalarının,şarj dinoma
egemenlik alametlerini,egemenlik alamet
ortakuyu sulama,ortaku sula
katılıp katılmayacakları,katılıp katılmayacak
çıkışını engelleyecek,çıkış engelleyecek
kaldırmasını istemelerine,kaldırma isteme
kaldırmayı reddettiği,kaldırma reddettik
çıkarılmadığı yakalanmasından,çıkarılmadık yakalanma
biçilen ot,biçile ot
düzenlenebilir işlenebilir,düzenlenebilir işlenebilir
prosedürünün işletilip,prosedür işletilip
işletilip işletilmediği,işletilip işletilmedik
büründüğü şekildir,büründük şekil
kronik şizofreni,kronik şizofre
kirli balast,kirli balast
narenciye bahçesinde,narenci bahçe
direğe bağlamak,direk bağlamak
güvenilir görünün,güvenilir gör
ulaşıp ulaşmadığı,ulaşıp ulaşmadık
ulaşmadığı incelenirken,ulaşmadık incelenir
ölçüsünün ifadelere,ölçü ifade
belirtmektedir siyasetçilere,belirtmek siyasetçi
aldırılacak rapordan,aldırılacak rapor
kimsiniz bizden,k biz
ünite dizel,üni dizel
parasına ihtiyaçlarının,para ihtiyaç
arslanejder yılmaz,arslanejder yılmaz
düşün dünyasında,düş dünya
uymayarak hemşehrisi,uymayarak hemşehris
hepinize göstereceğim,hep gösterecek
künt gögüs,künt gögüs
yönlendirildiği hastaneden,yönlendirildik hastane
koroner sendrom,koroner sendro
şikâyetinden vazgeçtiğinin,şikâyet vazgeçtik
selim kadayıf,sel kadayıf
işiyle uğraştığını,iş uğraştık
değerlendirir içerikte,değerlendirir içerik
ikrarına dayandırılmıştır,ikrar dayandırıl
hücrede tecrit,hücre tecrit
gelişmedikleri ağırlık,gelişmedik ağırlık
taahhüte uymayarak,taahhü uymayarak
ekipman edinemeyeceklerinin,ekipma edinemeyecek
eşyayı rejim,eşya rej
devire yanaşmadıklarını,devir yanaşmadık
saldırının ağırlığına,saldır ağırlık
vergisinin mtv,vergi mtv
alametlerini aşağılama,alamet aşağıla
oranıyla çarpımından,oran çarpım
kebap salonu,kebap salo
florence nightingale,flore nightingal
sıkıntısı idrarda,sıkıntıs idrar
ritmi normale,ritmi normale
banliyö taşımacılığı,banliyö taşımacılık
kontrole çağrıldığı,kontrole çağrıldık
depolanacak emtianın,depolanacak emtia
uyuşmazlıktan kaynaklanmaması,uyuşmazlık kaynaklanmamas
hükmolunabileceği uyarısı,hükmolunabilecek uyarıs
projelerin inşaatlarının,proje inşaat
araştırıp tahkik,araştırıp tahkik
üretimden duvarlar,üret duvar
alimünyum torba,alimüny torba
dayanıkla tüketim,dayanık tüket
manavgattaki eczanesinin,manavgat eczane
tamamlandığında eserden,tamamlandık eser
sorunlar yaşadıklarını,sorun yaşadık
anabilim dalı,anabil dal
hadjianastassiou yunanistan,hadjianastassio yunanis
tutulmasını önlemeyi,tutulma önleme
iyileştirmeden yararlanmaya,iyileştirme yararlanma
belgelerine ulaşılmada,belge ulaşılma
bel fıtığı,bel fıtık
onarımı rehabilitasyonu,onar rehabilitasyo
primden oluşuyorsa,pr oluşuyor
kurdurmak işletmek,kurdurmak işletmek
kullanılıp kullanılmadığının,kullanılıp kullanılmadık
tutuklunun kaçması,tutuklu kaçmas
şehit orgeneral,şehit orgeneral
kuyruk rotor,kuyruk rotor
ekseni etrafında,ekse etraf
güzel sanatlarla,güzel sanat
yaptırabileceği soru,yaptırabilecek sor
soru sorabileceği,sor sorabilecek
bağışık tutulma,bağışık tutulma
bilgilerle uyumlu,bilgi uyumlu
zamanaşımını kesen,zamanaşım kese
ihbarda bulunulmasına,ihbar bulunulma
kağıtlar okunduktan,kağıt okunduk
sürecindeki işlemlerin,süreç işle
gözaltına alınma,gözalt alınma
hayat fonksiyonlarına,hayat fonksiyon
dairelerde görülmekte,daire görülmek
mükerrirlere özgü,mükerrir özgü
gerektirip gerektirmediğinin,gerektirip gerektirmedik
görevlendirdiği işçilerini,görevlendirdik işçi
etmediklerinin sorulmadığı,etmedik sorulmadık
olamayacağı gözden,olamayacak göz
suçluyu kayırma,suçlu kayırma
güvenin sarsılmasını,güve sarsılma
güvenliğini tehlikeye,güvenlik tehlike
münasip vasıtalarla,münasip vasıta
anlaşılmamalıdır şüphesiz,anlaşılmamal şüphes
uygulanıp uygulanmayacağının,uygulanıp uygulanmayacak
ilkelere uyulmadan,ilke uyulma
üstünlük tanındığının,üstünlük tanındık
gazetede yayımlanarak,gazete yayımlanarak
davranmamakta ısrar,davranmamak ısrar
yapılmamış sayılamayacağı,yapılmamış sayılamayacak
etkin pişmanlık,etk pişmanlık
kesinleşmiş dosyalarda,kesinleş dosya
ihaleye fesat,ihale fesat
alış veriş,alış veriş
vatandaşlara nakdî,vatandaş nakdî
uyulmadığını denetlemek,uyulmadık denetlemek
priminin kaldırılmasından,prim kaldırılma
öncelik tanımak,öncelik tanımak
başlayabilmede öncelik,başlayabilme öncelik
karmaşık davalar,karmaşık dava
gerekip gerekmediğinin,gerekip gerekmedik
böyle olunca,bö ol
muris muvazaası,muris muvazaas
suça sürüklenen,suç sürüklene
olmayacağının irdelenmesi,olmayacak irdelenmes
hâline girer,hâl girer
yetkisini kısıtlayacak,yetki kısıtlayacak
yer alan,yer ala
ltd şti,ltd şti
asfalt kaplama,asfalt kapla
gerektiren suçlarda,gerektire suç
netlik prensibinin,netlik prensip
sıhhi tesisat,sıhhi tesisat
tamamlanmasını yanların,tamamlanma ya
masumiyet karinesinin,masumiyet karine
rızai taksime,rızai taks
kimselerden hiçbiri,kimse hiçbir
işçiyle işyeriyle,işçi işyer
iadeli taahhütlü,iadel taahhütlü
yapıştırır ihbarnamenin,yapıştırır ihbarname
açıklayan aleyhteki,açıklaya aleyh
vatandaşlığını kaybedenlerin,vatandaşlık kaybede
termik santralinde,termik santral
otomobille geceleyin,otomobil geceley
şikayetleriyle florence,şikayet flore
flash bellek,flash bellek
arsada yürüdüğü,arsa yürüdük
katını aşacak,kat aşacak
dönerek irtifa,dönerek irtifa
sırtı mevkiinde,sır mevkiin
dergi yayınevi,dergi yayınev
kardiojenik şok,kardiojenik şok
dayanmadığını çalışanlarla,dayanmadık çalışa
gazoz fabrikasına,gazoz fabrika
eşyanın gümrüklenmiş,eşya gümrükle
yarıya indirilmiş,yarı indiril
usulünden dönülerek,usul dönülerek
tez koopiş,tez koopiş
yaşama geçirilmesindeki,yaşa geçirilmes
yararlanıp yararlanmayacağı,yararlanıp yararlanmayacak
açıklanmasının geri,açıklanma ger
gidilen yerlerin,gidile yer
bildirmeme kabahati,bildirme kabahati
gereçleri noksansız,gereç noksansız
duruşmalar bildirilmeden,duruşma bildirilme
taşıt araçlarıyla,taşıt araç
okunup incelendikten,okunup incelendik
kurumların hangileri,kur hangi
istemine ilişkindir,istem ilişk
zamanaşımına uğrama,zamanaşım uğra
varlıklarını sürdürmeye,varlık sürdürme
organlar varlıklarını,organ varlık
işletmeler incelenmiş,işletme incele
dışından seçilmesi,dış seçilmes
siciline bildirmeye,sicil bildirme
gerektiğinin gözetilmemesi,gerektik gözetilmemes
uygulanarak sonuçlandırılan,uygulanarak sonuçlandırıla
dört aydan,dört ay
dilekçelerinde belirttikleri,dilekçe belirttik
hükme bağlanmış,hükme bağla
tanıyıp tanımadıklarının,tanıyıp tanımadık
düzenlenip düzenlenmediğinin,düzenlenip düzenlenmedik
tutanaklar belgeler,tutanak belge
ırk cinsiyet,ırk cinsiyet
